,company,type,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
58,symphon,Kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,symphon,ALN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,symphon,MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,symphon,GTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,symphon,NRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,symphon,DRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,symphon,GLXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,symphon,PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,symphon,NRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,symphon,PWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,symphon,TWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,symphon,XTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,symphon,ALN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,symphon,XTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,symphon,MTRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,symphon,NRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,symphon,Kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,symphon,NRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,symphon,NRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,symphon,GLXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,symphon,DRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,symphon,MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,symphon,MTRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,symphon,NRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,symphon,PWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,symphon,NXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,symphon,DRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,symphon,MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,symphon,NXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,symphon,NRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,symphon,DRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,symphon,ALN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,philips,SHS3200BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,philips,SHQ4300WS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,philips,SHE3590BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,philips,SHQ1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,philips,SHS3200BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,philips,SHQ3200BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,philips,SHE3905BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,philips,She3590lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,philips,SHQ2300LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,philips,SHE2100BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,philips,Shs3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,philips,SHE2641,,,,,,,,,,,,,,,,,,,,,,,,,Binaural,-,Open,-,3.94,Ft,Cable,,,
102,philips,SHQ1400,,,,,,,,,,,,,,,,,,,,,,,,,-,Binaural,-,in-Ear,-,Noise,Reduction,Microphone,-,White
103,philips,SHE9105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,philips,SHB5250BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,philips,SHE3590PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,philips,She3900bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,philips,SHL3160BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,philips,SHN2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,philips,SHE3595BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,philips,SHQ1305OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,philips,SHE4305RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,philips,SHQ2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,philips,She3900gn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,philips,SHE7050PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,philips,SHE7000BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,philips,She3900wt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,philips,SHE8105BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,philips,HN060,,,,,,,,,,,,,,,,,,,,,,,,,Powerful,Bass,by,Philips,,,,,,
119,philips,JLY-8919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,philips,SHE3595PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,philips,SHL1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,philips,SHE7050BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,philips,SHB7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,philips,SHQ1300BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,sony,mdrv6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
