url,features
https://www.amazon.com/Beats-EP-On-Ear-Headphones-White/dp/B01LYU9XZ2/ref=sr_1_100?keywords=headphones&qid=1570712350&sr=8-100,"['Beats EP on-ear headphone delivers masterfully tuned sound.', 'Durable, lightweight design reinforced with stainless steel', 'Take calls and control music on your iOS devices with RemoteTalk cable', 'Battery free for unlimited playback', 'Adjustable vertical sliders for a personalized fit']"
https://www.amazon.com/S12-Earphones-Headphones-Ergonomic-Microphone/dp/B07RZ87LTQ/ref=sr_1_116?keywords=headphones&qid=1570712353&sr=8-116,"['High Quality Headphones with Stereo Bass Driven Sound, Reinforced High Quality Oxygen-Free Copper cable', 'Passive Noise Isolating Earphones : provides good listening experience and clear calling', 'Superb Sound with High Definition: Exclusive driver design pumps out the deepest bass soaring highs and ultra-clear midrange Soft silicone ear buds provide a super comfortable noise reducing fit', 'Sound signature: Powerful bass response, clear vocals and sparkling trebles passive attenuation of ambient noise', 'Suitable for Apple Devices, Androids Smartphones , Windows Phones, MP3 Players.30 days Money Back Guarantee']"
https://www.amazon.com/TaoTronics-Cancelling-Headphones-Bluetooth-Cellphone/dp/B07L5LPSQT/ref=sr_1_132?keywords=headphones&qid=1570712357&sr=8-132,"['Pure focus: improved active noise cancellation will drown out the noise so you hear every detail, Every moment from your music – exactly as you want', 'Pro grade sound: 40mm large-aperture drivers pump out hi-fi sound that’s richer, cleaner and more Professional, all complimented by an intensely deep bass', 'Supercharge technology: plug in for 5 minutes to rapidly charge and receive 2 hours of playback; impressive 30 hours playtime on a full charge', 'steady Bluetooth 5.0: Bluetooth 5.0 connectivity for effortless work calls or music playback; in-built CVC 6.0 mic puts your voice center stage so you’re always heard crystal clear', 'Pinnacle of comfort: settle into the sumptuous, pillow-soft protein cushions, 90° rotatable ear cups with an adjustable headband for lavish comfort on the longest of journeys. These headphones are foldable and come with a carrying case.']"
https://www.amazon.com/Audio-Technica-Professional-Headphones-Certified-Refurbished/dp/B01MFDQUD3/ref=sr_1_148?keywords=headphones&qid=1570712361&sr=8-148,"['Advanced build quality and engineering', '40 mm drivers with rare earth magnets and copper-clad aluminum wire voice coils', 'Tuned for enhanced detail, with excellent mid-range definition', 'Collapsible for space-saving portability', 'Designed to excel for studio tracking, mixing, and field recording']"
https://www.amazon.com/SONXTRONIC-Xdr-8000-Vertical-Ultralight-Headphones/dp/B00QHOCTG6/ref=sr_1_164?keywords=headphones&qid=1570712364&sr=8-164,"['Ultra comfort sport design (with polished smooth surfaces)', 'Vertical in ear headband: Best stay in place design for running and sports', 'Lets in some air and sound for ear breathability and personal saftey: 1 yr seller warranty', 'Ultra lightweight extended wear comfort for gaming and active sports', 'Sonxtronic extra high performance magnetic drivers deliver great sound']"
https://www.amazon.com/Headphone-Amasing-Cancelling-Earphones-Headphones/dp/B07CZ84PG9/ref=sr_1_180?keywords=headphones&qid=1570712367&sr=8-180,"['★ Super Sound Performance:These high definition stereo headphones provide the excenllent sound input& output quality that produce incredible natural high fidelity sound with deep bass and crystal clear treble', '★ Ergonomic in-ear Design:Wired earphones with 3 sets of different soft silicone earbuds tips ensure a proper fit and extra comfort', '★ Smart Button in-line Control:The built-in microphone enables convenient remote control for music play and phone calls, guarantees clear and smooth hands-free communication', '★ Magnetic Design:Power Magnetic Design,effectively prevents natural tangling, ensures more convenient carrying and using.', '★ Perfect Compatibility:Compatible with the devices plug 3.5mm Such as Samsung S7/S7 edge /S8/S8 Plus/ S9 S9 Plus /Note, iPhone SE/ 6/6s/6 Plus/6s Plus/5/5c/5s, iPad Mini, iPad Air, iPod,Huawei, MP3/MP4 Player, Portable Music Player PC Gaming and other popular electronics.']"
https://www.amazon.com/WRZ-Headphones-Microphone-Smartphone-Cellphones/dp/B07RP1B7MH/ref=sr_1_196?keywords=headphones&qid=1570712370&sr=8-196,"['High-fidelity in ear headphones are ergonomically designed and compact enough to fit well into the ear canal for comfortable wear and isolates external noise.', '10 mm internal audio driver of earphones delivers crisp, natural sound and deep bass, and is also compatible with IOS and Android devices.', 'The earphones with oxygen-free copper wire (best conductivity) provide professional stereo audio performance and anti-winding.', 'Earphones with microphone and volume control system (Receive | End Call | Switch Song | Activate siri | Volume +/-).', 'Our worry-free 12 month warranty and friendly customer service.']"
https://www.amazon.com/Headphones-Microphone-Included-Foldable-Removable/dp/B01M5CD25X/ref=sr_1_212?keywords=headphones&qid=1570712374&sr=8-212,"['These are best wired headphones for Kids Boys Adult . Headphones perfect for children and adults, can be used by people of all ages.High quality sound, the headphones provide immersive listening experience in natural sound. The headphones give a powerful and crisp sound, making your overall listening experience just that much better.You are free to get lost in your music.', 'The packing with cloth bag, so you can easily put it in the suitcase or bag, more easy to carry it. Built to stay comfortable, high quality PU ear cushions, adjustable headband design allow for comfortable all day listening. Getting better hearing enjoyment for travel, work and anywhere in between.', ""Heavy Bass headphone, excellent sound effect and HIFI strong low bass speaker,3.5mm plug and 4.3 ft. cord, compatible with all 3.5mm jack devices Microphone with high integrity ,compatible with MP3, MP4, PC,PCD,DVD,most smartphone. When you take them everywhere and listen all day, they have to be comfortable.(This item is passive noise isolating, NOT active noise cancellation(ANC), it can't cancel the noise completely)"", 'The headphone features in-line control to allow you to answer calls by pressing the button when being used on a Phone or Tablet or Computer and play/pause a song when used in a device that supports inline control with music / Flat . For Calls: Short press to answer/hang up. For Music: Press pause/play.', 'Gentle reminder: Depending on your head/ear size/shape, it may be a little tight for someone to wear which is designed to avoid sound leakage. In case of that and to get both audio and wearing comfort, please take off the headphone every 1-2 hrs to get your ears relax and protect them from muggy environment in use.']"
https://www.amazon.com/Lightweight-Headphones-Adjustable-Microphone-Smartphones/dp/B015WBVJDI/ref=sr_1_228?keywords=headphones&qid=1570712377&sr=8-228,"['AILIHEN Comfortable Kids Headphones: A must gift headphones for your children with an adorable design and pillow soft headband for ultra comfort. What’s more, memory-protein cushioned earmuffs also help you minimize tiredness', 'Foldable and Portable: Collapsible design provide convenient take out. Fold the headphone up and take it anywhere while you are on airplane, travel or in a car. Just enjoy your music everywhere with your kids', 'Adjustable design: Adjustable headband meets the requirement of all head sizes. Lightweight design for kids aged 3 and up, and won’t become their burden. The wonderful sound is matched by standout comfort', 'Inline Microphone: The HD microphone on the braided cable guarantees clear, hands-free communication, with one button to control music play and phone calls', 'Wide compatibility and satisfying warranty: With standard 3.5mm audio jack suitable for listening to music or audiobooks. Compatible with most of the Smartphones, Tablets, PC and more. AILIHEN offers 365 days replacement warranty']"
https://www.amazon.com/Beats-Studio-Wireless-Over-Ear-Headphones/dp/B07DVM6VFH/ref=sr_1_244?keywords=headphones&qid=1570712380&sr=8-244,"['Renewed products look and work like new. These pre-owned products have been inspected and tested by Amazon-qualified suppliers, which typically perform a full diagnostic test, replacement of any defective parts, and a thorough cleaning process. Packaging and accessories may be generic. All products on Amazon Renewed come with a minimum 90-day supplier-backed warranty.', 'Features the iconic Beats sound with Dual-Mode Adaptive Noise Canceling, plus the added benefit of wireless listening.', 'Pair and Play with your Bluetooth device with 30ft range.', '12-hour rechargeable battery with Fuel Gauge.']"
https://www.amazon.com/TaoTronics-Cancelling-Headphones-Bluetooth-SoundSurge/dp/B07TWK4V1H/ref=sr_1_243?keywords=headphones&qid=1570712380&sr=8-243,"['Music on, World off: improved active noise cancellation will drown out the noise of the streets or annoying chatter to fully immerse you in your favorite tunes', 'Hi-fi sound & CAPTIVATING bass: 40mm large-aperture drivers deliver riveting sound and a thumping bass', 'New Hyper speed charge: just 5 minutes of charging give you 2 hours of full sound; 30 hours playtime on a full charge', 'Bluetooth 5. 0: steady Bluetooth 5. 0 connection streams music uninterrupted while the built-in CVC 6. 0 microphone ensure crisp, clear calls without ambient noise', 'First class comfort: Adjustable headband, 90° rotatable ear cups & pillow-soft protein cushions; fold & store in the carrying case to take anywhere you go']"
https://www.amazon.com/Canceling-Bluetooth-Headphones-30HPlaytime-Cellphone/dp/B07HRBF5GH/ref=sr_1_242?keywords=headphones&qid=1570712380&sr=8-242,"[""❤ Active Noise Cancelling Technology - when you need to drive into your thinking and don't want to be disturbed by other one Try wearing Bluetooth headphones over the ear (even if you don't have any music playing)."", '❤ UPERIOR SOUND QUALITY - iREIZTEC Bluetooth headphones World-class sound makes bass richer and more pronounced.The mid and high ranges are also clear and balanced.Even you turn to the high volume,the distortion is minimal.Free to enjoy the superb high fidelity sound with thumping bass,prominent mids and sparkling highs.', '❤COMFORTABLE OVER EAR HEADPHONES - The professional protein earpad and 90° swiveling earcups. More durability and comfort, Enjoy high-quality, Long-listen comfort. Skin texture, lightweight comfortable around-ear fit you can wear all day long. Gentle Reminder: please take off the headphone every 2-3 hrs to get your ears relax, in order to get better hearing enjoyment, and keep the head comfortable.', '❤ WIRELESS & WIRED HEADPHONES - bluetooth function connects to all your Bluetooth enabled devices with 33ft (10 meters) effective range. AUX port with cable (included) for use in flight or with any 3.5mm jack port devices.', ""❤ 30 hours playtime per charge at Bluetooth mode. A built-in 750mAh battery won't allow your headphones power off, you can enjoy your world without noise for 30 hours' long time. Don't need to worry the power shortage problem on the long travel. 18-month warranty and quick response & friendly customer service. Dedicated customer service team, provide you with quick response and friendly customer service, which will always serve for you and certainly satisfy you.""]"
https://www.amazon.com/AfterShokz-Wireless-Conduction-Headphones-AS650MB/dp/B076FCWFPH/ref=sr_1_241?keywords=headphones&qid=1570712380&sr=8-241,"['Bone conduction technology and Open Fit design delivers music through your cheekbones, ensuring ears remain completely open to ambient sounds for maximum situational awareness during long-term wear.', 'The new, organic, wraparound design is 20% lighter than its counterpart to deliver a flexible fit for unnoticeable all-day comfort and stability.', 'Bluetooth v4. 2 connectivity and convenient multipoint pairing compatible with your iOS and Android Bluetooth-ready smartphones or tablets and Mac and PC computers and laptops.', 'Premium Pitch Plus s a premium audio experience, including wide dynamic range and rich bass.', 'Enjoy six hours of continuous music + calls on a single charge, or 20 days of standby time. Charges in 2 hours.']"
https://www.amazon.com/Wholesale-Bulk-Headphones-Classroom-Earbuds/dp/B07WYTH7KV/ref=sr_1_240?keywords=headphones&qid=1570712380&sr=8-240,"['➤Foldable Headphones with Adjustable Headband: 25 Pack headphones in bulk,Keewonda KW-X25 headphone is a foldable headphone,with adjust headband,suitable for kindergarden primary elementary middle school and teachers, adults.', ""➤Comfortable and Durable: With soft leather ear cushions ,comfortable to wear for daliy use and can be wiped down between uses for easy cleaning;It's not a disposable headphone,come with strong plastic and stereo sound,can be used again and again"", '➤Individual Packaged: Keewonda bulk headphones packed by a carton box, each headphone sealed by individual plastic bag', ""➤Low Cost Headphones Compartibility Fit: 4 feet cable ,3.5mm aux jack ,compatible to with IPads, IPhones, Tablets, Macs, PCs, Desktops, Laptops, Chromebooks, Android products, MP3 players, CD players, Fitness equipment, and Other Devices ,it's a great choice for class use and school testing."", '➤Great Customer Service: If you have any questions when using, feel free to contact us through the contact information on the warranty card or Amazon email,We will Reply You in 8-12 Hours.']"
https://www.amazon.com/Boltune-Headphones-Bluetooth-Waterproof-Connection/dp/B07VWQ5GKV/ref=sr_1_239?keywords=headphones&qid=1570712380&sr=8-239,"['16 hours continuous playback: Bolton wireless headphones with exclusive charging technology, low power consumption, 5 minutes charge can play for 2 hours. IOS can last up to 16 hours, Enjoy wonderful music when travelling & playing sports.', 'The most advanced Bluetooth 5. 0: Bolton Bluetooth headphones adopt the latest generation chip and Bluetooth 5. 0 technology, supports various Bluetooth-enabled devices with significant noise isolation & 10mm dynamic drivers.', 'IPX7 waterproof technology: Bolton headphones with IPX7 sweat & water resistance, protects the headphones from heavy rain & sweat. The magnetic wireless headphones conveniently clasp together, Easy to take anywhere.', 'High quality stereo sound: Bluetooth 5. 0 technology, with SBC Bluetooth profiles for AAC support, significant noise isolation and 10mm dynamic drivers, ensure stable transmission & 0 interruption for a HD stereo sound experience.', 'Ergonomic fit & commitment: 3 pairs of ear tips & 3 pairs of secure-fit ear hooks to choose your perfect fit. 18-Month promise, no matter the product problem, we will replace with a new one or refund you.']"
