name,star,review_info,detail_info_link,type,now_price,old_price
"New Sennheiser Momentum Wireless Noise Cancelling Headphones with Auto On/Off, Smart Pause Functionality and Smart Control App",3.5 out of 5 stars,Sponsored,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_2?ie=UTF8&adId=A06291142DE2B1Z4N3PUP&url=%2FSennheiser-Momentum-Cancelling-Headphones-Functionality%2Fdp%2FB07VW98ZKG%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dheadphones%26qid%3D1570712325%26s%3Daht%26sr%3D1-2-spons%26psc%3D1&qualifier=1570712324&id=7126474431347436&widgetName=sp_atf,Electronics,$399.95,
,4.1 out of 5 stars,"59,526",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sxin_2_ac_d_pm?ac_md=1-0-VW5kZXIgJDI1-ac_d_pm&keywords=headphones&pd_rd_i=B003EM8008&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=pOJz3&pd_rd_wg=IQP2C&pf_rd_p=02e79b16-eab7-4369-852f-d04a58a4d9b5&pf_rd_r=A3N3741Y69TN8NNWHKA5&psc=1&qid=1570712325&s=aht,Electronics,$9.73,$15.00
,4.4 out of 5 stars,"3,573",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sxin_3_osp21-bc0957bb_cov?ascsubtag=bc0957bb-263c-40cc-a2bf-c26a24e87fca&creativeASIN=B0756CYWWD&cv_ct_id=amzn1.osp.bc0957bb-263c-40cc-a2bf-c26a24e87fca&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=headphones&linkCode=oas&pd_rd_i=B0756CYWWD&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=Xm0qt&pd_rd_wg=IQP2C&pf_rd_p=a23a388c-add5-49df-b293-a31ade89c6bf&pf_rd_r=A3N3741Y69TN8NNWHKA5&qid=1570712325&s=aht&tag=onsitertings-20,Electronics,$349.00,
"Mpow 059 Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic Wired Mode PC/Cell Phones/TV",4.4 out of 5 stars,"24,376",https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/dp/B01NAJGGA2/ref=sr_1_3?keywords=headphones&qid=1570712325&s=aht&sr=1-3,Black/Red,$34.99,
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",4.3 out of 5 stars,"13,596",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_4?keywords=headphones&qid=1570712325&s=aht&sr=1-4,Black,$59.99,
"On Ear Headphones with Mic, Vogek Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",4.5 out of 5 stars,"1,169",https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/dp/B07MCCJ6VY/ref=sr_1_5?keywords=headphones&qid=1570712325&s=aht&sr=1-5,Black,$12.99,
"LETSCOM Bluetooth Headphones IPX7 Waterproof, Wireless Sport Earphones, HiFi Bass Stereo Sweatproof Earbuds w/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play Time",4.3 out of 5 stars,"12,092",https://www.amazon.com/LETSCOM-Headphones-Waterproof-Sweatproof-Cancelling/dp/B07DXQTCQL/ref=sr_1_6?keywords=headphones&qid=1570712325&s=aht&sr=1-6,GreenBlack,$19.98,
Apple EarPods with 3.5mm Headphone Plug - White,4.2 out of 5 stars,771,https://www.amazon.com/Apple-EarPods-3-5mm-Headphone-Plug/dp/B06X16Z7DZ/ref=sr_1_7?keywords=headphones&qid=1570712325&s=aht&sr=1-7,,$19.99,$30.00
"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",4.8 out of 5 stars,766,https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_8?keywords=headphones&qid=1570712325&s=aht&sr=1-8,Electronics,$15.92,
"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120-K (Black) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit",4.1 out of 5 stars,"59,526",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sr_1_9?keywords=headphones&qid=1570712325&s=aht&smid=ATVPDKIKX0DER&sr=1-9,Black,$9.73,$15.00
